source_name	group	baseline_R	balanced_R	delta_R	baseline_sys	balanced_sys	delta_sys	baseline_covariance_rho	balanced_covariance_rho
random_5x5_s0_99	5x5	9.888851868330336	9.992084912413434	0.10323304408309752	0.6896742696220047	0.7212456578058248	0.031571388183820104	1.2376500877096095	1.0
random_5x6_s2_149	5x6	9.561997955040862	9.550894438458029	-0.011103516582833706	0.6642981751884891	0.7969963119968873	0.13269813680839815	1.2790423765676744	1.0000000000000002
random_6x6_s0_240	6x6	15.932572622263246	11.394976827681182	-4.537595794582064	0.34529868084086945	0.5537924833634802	0.20849380252261074	3.723080097299226	1.0000000000000002
random_3x3_s2_100	3x3	26.71131115937115	13.089602055203006	-13.621709104168144	0.1793988095106455	0.5183662740327707	0.33896746452212523	9.2108555094908	1.0000000000000049
random_3x4_s1_1	3x4	32.96888699655911	13.739696963551522	-19.229190033007583	0.11452599696777667	0.5694867563896613	0.45496075942188463	14.59842550597832	1.000000000000001
random_3x5_s0_244	3x5	49.74684997271971	12.248562449495205	-37.498287523224505	0.04336317429358329	0.5207314582565272	0.47736828396294395	35.071358937261756	1.000000000000012
random_3x6_s0_144	3x6	15.590072029137662	11.957661731368335	-3.6324102977693276	0.3781229893138232	0.5190625389885579	0.1409395496747347	3.4508711117939495	1.0000000000000002
random_4x4_s3_24	4x4	63.66209872475534	13.480853606868864	-50.181245117886476	0.031267776633472154	0.6500637376404473	0.6187959610069752	79.93071582739023	1.0000000000000002
random_4x5_s1_31	4x5	20.28059664312239	11.334205796869716	-8.946390846252674	0.2119865023845071	0.5769187007540855	0.36493219836957835	6.716362471772424	1.0000000000000013
random_4x6_s3_203	4x6	25.497457071395516	11.790677900711952	-13.706779170683564	0.12633031418711235	0.6916305530359745	0.5653002388488622	13.3328777319743	1.0000000000000002
random_5x5_s0_174	5x5	25.2321214542866	11.82414394783232	-13.407977506454278	0.13399271896239817	0.5398743295978846	0.40588161063548645	9.13791514354334	1.0000000000000013
random_5x6_s2_105	5x6	13.321032208125168	10.580191356042587	-2.740840852082581	0.36882525491844825	0.7405174202689565	0.37169216535050825	2.305248408367025	1.0000000000000002
random_6x6_s2_252	6x6	11.141875087727628	10.951526936745955	-0.19034815098167357	0.6962080251584373	0.7650099326909497	0.06880190753251247	1.1832823224254148	1.0000000000000002
random_3x3_s0_244	3x3	123.31041898902664	13.105886137202948	-110.2045328518237	0.008418029101898924	0.5190892745882952	0.5106712454863963	283.6784743616493	1.0000000000000124
random_3x4_s0_19	3x4	27.131094148723985	11.85931382338907	-15.271780325334916	0.10564835771941539	0.6236199079946572	0.5179715502752418	14.368118377716511	1.0000000000000009
random_3x5_s3_167	3x5	28.476923225392905	11.21341719188869	-17.263506033504214	0.06181300656730244	0.6602176253453568	0.5984046187780543	18.158257229553087	1.0000000000000002
random_3x6_s1_41	3x6	14.79850250553405	11.21898928041534	-3.57951322511871	0.43311169186980414	0.6764002156050368	0.2432885237352327	3.4359854582108142	1.0000000000000004
random_4x4_s0_54	4x4	17.49876132731952	11.773368121729636	-5.725393205589885	0.3303507191114252	0.5237292081770714	0.19337848906564614	4.36086762146156	1.000000000000002
random_4x5_s2_251	4x5	13.473428120282092	11.876581441765136	-1.5968466785169557	0.5461578857324506	0.7957184847475376	0.24956059901508698	2.1211256299025765	1.0000000000000002
random_4x6_s0_205	4x6	11.313664457733283	11.265562040927575	-0.04810241680570826	0.5843284524257986	0.7963292515731634	0.2120007991473648	1.8548827915354285	1.0
